# ID_SITE,ID_ENTITY,entity_name,latitude,longitude,elevation,depositional_context,measurement_method,TYPE,source,core_location,last_updated,ID_UNIT,REGION
1217,1508,Jack Pine core,50.27055556,-86.96277778,341,lake sediment,Charcoal particles identified in thin slides (soil micromorphology),influx,author,central core,07/05/2021,13,BONA_E
1226,1518,Richard core,50.61941667,-74.68608333,432,lake sediment,Sieved,influx,author,central core,07/05/2021,315,BONA_E
1228,1521,Steeve core,51.93997222,-68.15533333,548,lake sediment,Charcoal particles identified in thin slides (soil micromorphology),influx,author,central core,07/05/2021,14,BONA_E
864,1523,Twin Lake core,50.95247222,-74.57533333,376,lake sediment,Charcoal particles identified in thin slides (soil micromorphology),influx,author,central core,07/05/2021,13,BONA_E
1148,1572,Innu lake core,50.06864,-68.81231,400,lake sediment,Charcoal particles identified in thin slides (soil micromorphology),concentration,author,central core,07/05/2021,14,BONA_E
1433,1850,LM01 core,55.62,-74.58,320,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1434,1851,EC03 core,56.02,-74.98,279,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1435,1852,MV01 core,56.94,-74.9,300,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1436,1853,BN07 core,55,-73.52,395,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1437,1854,GB01 core,55.12,-75.25,325,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1438,1855,EC02 core,56.02,-74.95,260,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1439,1856,GB02 core,55.1,-75.28,300,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1440,1857,EC01 core,56.28,-75.1,250,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1441,1858,LB01 core,57.92,-75.62,200,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1442,1859,LR01 core,58.58,-75.25,170,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1443,1860,BI02 core,57.12,-76.38,210,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1444,1861,LR03 core,58.57,-75.22,160,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1445,1862,LT01 core,59.14,-75.15,150,lake sediment,Pollen slide,concentration,author,central core,15/02/2021,169,BONA_E
1663,2108,Canoe core,53.04889,-57.67175,166,lake sediment,Sieved,concentration,Arctic Data Center,central core,25/03/2021,303,BONA_E
1665,2110,111 core,59.912878,-96.9576,225,lake sediment,Sieved,concentration,Arctic Data Center,central core,25/03/2021,29,BONA_E
1666,2111,150 core,59.875018,-98.1318,299,lake sediment,Sieved,concentration,Arctic Data Center,central core,25/03/2021,29,BONA_E
1667,2112,396 core,59.571677,-98.5591,317,lake sediment,Sieved,concentration,Arctic Data Center,central core,25/03/2021,29,BONA_E
1668,2113,614 core,59.321304,-97.2804,268,lake sediment,Sieved,concentration,Arctic Data Center,central core,25/03/2021,29,BONA_E
1669,2114,630 core,59.314377,-98.0836,271,lake sediment,Sieved,concentration,Arctic Data Center,central core,25/03/2021,29,BONA_E
1670,2115,785 core,59.118988,-97.4093,234,lake sediment,Sieved,concentration,Arctic Data Center,central core,25/03/2021,29,BONA_E
1671,2116,Shuttle core,59.84616,-97.6351,276,lake sediment,Sieved,concentration,Arctic Data Center,central core,25/03/2021,29,BONA_E
