"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
1287,"Lake Stiucii",46.97,23.8997,240,"lacustrine",6,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.38,131
1289,"Arroyo de Aguas Frias",40.2667,-5.1167,1120,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",0.03,-999999
1290,"Arbarrain Mire",43.2114,-2.1729,1004,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",0.0156,-999999
1291,"Akali",58.408056,27.231944,30.5,"terrestrial, mire",0.2,"medium (1.1-50 km2)","-999999","-999999",25.68,-999999
1292,"El Payo mire",40.2535,6.7712,1000,"terrestrial, fen",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
1296,"Kiilaspere",58.796944,24.436111,22.6,"terrestrial, bog",-888888,"small (0.01-1 km2)","-999999","-999999",0.43,-999999
1297,"Koivasoo",58.908611,22.199444,27.5,"terrestrial, bog",-888888,"small (0.01-1 km2)","-999999","-999999",0.34,-999999
1298,"Lasva",57.859444,27.175,72.2,"lacustrine",19.15,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.11,3
1300,"Maardu",59.441667,25,31.3,"lacustrine",0.9,"medium (1.1-50 km2)","medium (10.1-500 km2)","outflow only",1.59,10.52
1301,"Mustjarve",59.076944,24.099722,38.9,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",2.78,-999999
1303,"Parika",58.490278,25.774167,48.5,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",34.26,-999999
1304,"Plaani",57.676944,27.077222,244.1,"lacustrine",4.4,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.24,1.4
1305,"Rouge-Tougjarv",57.738889,26.905,109,"lacustrine",17,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.044,27
1306,"Surusoo",58.529722,22.423056,43,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",1.08,-999999
1307,"Ruila",59.175833,24.429722,43.8,"lacustrine",0.9,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.46,3.4
825,"Vedruka",58.330278,22.060556,21,"terrestrial, bog",-888888,"small (0.01-1 km2)","-999999","-999999",0.9,-999999
1309,"Verijarv",57.808333,27.058333,90,"lacustrine",19.3,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.25,31.3
1311,"Fuente del Pino Blanco",40.2363,-4.9776,1343,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",0.0137,-999999
